24,48,80,112,136,176,207,241,287,318,346,354,389,434,462,483,515,569,604,635,666,683,736,750,794,805,836,883,914,935,980,1008,1042,1084,1091,1137,1176,1188,1242,1252,1285,1336,1369,1380,1413,1452,1495,1506,1545,1588
1627,1650,1681,1700,1748,1774,1794,1850,1875,1891,1951,1979,1988,2023,2061,2107,2137,2157,2201,2216,2269,2281,2318,2364,2387,2407,2438,2465,2521,2530,2585,2601,2628,2679,2699,2737,2761,2793,2838,2868,2895,2915,2953,2988,3026,3061,3088,3124,3156,3175
3226,3256,3294,3319,3334,3378,3404,3438,3479,3505,3547,3580,3607,3628,3678,3697,3744,3752,3788,3819,3856,3881,3914,3943,3996,4019,4059,4071,4119,4156,4187,4212,4248,4288,4313,4332,4378,4401,4444,4457,4496,4541,4561,4603,4609,4643,4696,4718,4761,4795
4812,4839,4896,4905,4931,4968,5016,5031,5076,5095,5123,5184,5207,5239,5252,5289,5329,5358,5390,5431,5472,5489,5525,5543,5574,5615,5636,5666,5719,5747,5785,5813,5856,5865,5891,5940,5973,5995,6048,6080,6111,6141,6146,6181,6236,6241,6288,6327,6368,6374
6424,6449,6475,6509,6537,6570,6611,6631,6687,6704,6739,6766,6800,6818,6850,6882,6926,6962,6992,7030,7065,7098,7112,7155,7177,7204,7258,7286,7322,7358,7390,7393,7429,7459,7493,7533,7581,7607,7641,7652,7697,7722,7750,7808,7824,7868,7878,7921,7948,7978
8016,8057,8081,8112,8140,8166,8207,8253,8283,8291,8332,8366,8393,8435,8472,8482,8538,8546,8590,8639,8667,8681,8714,8764,8786,8830,8845,8881,8915,8942,8973,9007,9033,9064,9107,9145,9165,9197,9242,9278,9309,9331,9355,9404,9415,9470,9488,9510,9556,9600
9621,9648,9688,9718,9732,9772,9807,9835,9887,9892,9949,9979,9996,10039,10061,10107,10120,10159,10185,10233,10254,10289,10331,10338,10373,10430,10451,10480,10522,10557,10576,10604,10641,10687,10702,10736,10763,10800,10834,10868,10901,10933,10957,10999,11021,11051,11079,11113,11154,11185
11203,11243,11285,11298,11342,11391,11416,11452,11482,11504,11549,11562,11601,11621,11655,11688,11739,11758,11789,11814,11844,11884,11932,11957,11986,12023,12064,12074,12114,12144,12180,12195,12232,12275,12298,12337,12363,12392,12446,12455,12507,12543,12561,12582,12615,12642,12692,12733,12757,12771
12811,12855,12893,12923,12936,12971,13003,13039,13088,13111,13152,13165,13216,13230,13253,13288,13335,13347,13380,13418,13454,13503,13510,13559,13577,13629,13657,13695,13709,13750,13768,13816,13844,13875,13899,13937,13955,13987,14048,14053,14087,14127,14148,14178,14224,14249,14288,14321,14339,14390
14401,14441,14467,14511,14552,14565,14612,14644,14680,14704,14722,14755,14785,14820,14868,14893,14915,14976,14979,15040,15054,15082,15126,15151,15184,15227,15255,15269,15315,15359,15382,15399,15441,15486,15511,15549,15580,15588,15629,15649,15693,15725,15749,15779,15828,15864,15885,15910,15938,15985
16030,16048,16067,16128,16130,16176,16213,16239,16271,16290,16342,16374,16410,16420,16474,16510,16537,16554,16601,16614,16653,16682,16707,16737,16800,16824,16858,16889,16899,16941,16983,16997,17056,17057,17095,17140,17169,17194,17222,17257,17287,17325,17373,17396,17434,17451,17480,17529,17542,17592
17604,17652,17668,17709,17748,17780,17817,17826,17865,17894,17940,17972,17994,18045,18065,18092,18133,18166,18179,18234,18245,18302,18331,18364,18397,18414,18453,18481,18502,18534,18574,18600,18646,18671,18696,18735,18774,18790,18837,18874,18897,18917,18953,18983,19035,19043,19080,19124,19160,19180
19215,19258,19287,19304,19341,19372,19424,19441,19464,19492,19524,19554,19604,19627,19674,19691,19738,19758,19804,19815,19852,19904,19930,19956,19993,20007,20034,20069,20106,20148,20171,20202,20245,20259,20310,20342,20354,20396,20446,20467,20512,20529,20554,20586,20612,20663,20698,20722,20744,20769
