%time,field.header.seq,field.header.stamp,field.header.frame_id,field.current_id,field.relative_rad
1562106015828374603,0,1562106015824630896,,0,0.0
1562106015866559791,1,1562106015865362385,,0,0.0
1562106015917038540,2,1562106015916814353,,0,0.0
1562106015965455724,3,1562106015965233293,,0,0.0
1562106016018198755,4,1562106016017133902,,0,0.0
1562106016067320964,5,1562106016065927642,,0,0.0
1562106016117839015,6,1562106016116852416,,0,0.0
1562106016165389697,7,1562106016165220055,,0,0.0
1562106016217385324,8,1562106016216632916,,0,0.0
1562106016318874986,9,1562106016318593583,,0,0.0
1562106016367569940,10,1562106016365440324,,0,0.0
1562106016417519261,11,1562106016416988832,,0,0.0
1562106016467673082,12,1562106016465242423,,0,0.0
1562106016569635359,13,1562106016569005420,,1,0.0
1562106016618799296,14,1562106016617705417,,1,0.0
1562106016666422261,15,1562106016665309622,,1,0.0
1562106016719941031,16,1562106016718412003,,1,0.0
1562106016766572022,17,1562106016765412987,,1,0.0
1562106016877155297,18,1562106016876280545,,1,0.0
1562106016926881497,19,1562106016925934823,,1,0.0
1562106016968139738,20,1562106016967805676,,1,0.0
1562106017017389133,21,1562106017016666000,,1,0.0
1562106017068227502,22,1562106017065531193,,1,0.0
1562106017120118343,23,1562106017116865566,,2,0.0
1562106017170595836,24,1562106017170397321,,2,0.0
1562106017219782941,25,1562106017217475414,,2,0.0
1562106017265095213,26,1562106017264840586,,2,0.0
1562106017316934201,27,1562106017316725914,,2,0.0
1562106017367035505,28,1562106017365828637,,2,0.0
1562106017417590548,29,1562106017417222988,,2,0.0
1562106017466448804,30,1562106017465192121,,2,0.0
1562106017520343594,31,1562106017517758750,,2,0.0
1562106017566510428,32,1562106017565410731,,3,0.0
1562106017618414747,33,1562106017618108423,,3,0.0
1562106017668901442,34,1562106017665250562,,3,0.0
1562106017718952905,35,1562106017717688583,,3,0.0
1562106017820303700,36,1562106017820009548,,3,0.0
1562106017865837512,37,1562106017865031078,,3,0.0
1562106017918578085,38,1562106017917418372,,3,0.0
1562106017976734512,39,1562106017976091299,,3,0.0
1562106018023392278,40,1562106018023013578,,3,0.0
1562106018066385878,41,1562106018065313618,,3,0.0
1562106018118360164,42,1562106018117294686,,4,0.0
1562106018166194232,43,1562106018165313256,,4,0.0
1562106018218491140,44,1562106018217448458,,4,0.0
1562106018319144363,45,1562106018318865533,,4,0.0
1562106018365954191,46,1562106018365566032,,4,0.0
1562106018417535109,47,1562106018417334161,,4,0.0
1562106018517751136,48,1562106018517116086,,4,0.0
1562106018566153917,49,1562106018565352850,,5,0.0
1562106018618856628,50,1562106018617663870,,5,0.0
1562106018665693561,51,1562106018665231046,,5,0.0
1562106018718837672,52,1562106018717826596,,5,0.0
1562106018767157089,53,1562106018766930343,,5,0.0
1562106018866896763,54,1562106018866718671,,5,0.0
1562106018918992393,55,1562106018918711531,,6,0.0
1562106018967798925,56,1562106018967453414,,6,0.0
1562106019020042900,57,1562106019017308724,,6,0.0
1562106019067098998,58,1562106019066088039,,6,0.0
1562106019118605884,59,1562106019117875371,,6,0.0
1562106019167656448,60,1562106019166148543,,6,0.0
1562106019219115400,61,1562106019218071714,,7,0.0
